sbd,toán,ngữ văn,lịch sử,địa lí,giáo dục công dân,sinh học,vật lý,hóa học,ngoại ngữ
4003726,6.8,7,-1,-1,-1,6,5,4,5.4
4003727,9.4,6,-1,-1,-1,6,9,6,8.8
4003728,2.8,3.5,4,6,6.25,-1,-1,-1,2.2
4003729,3.4,2,6.5,6.25,-1,-1,-1,-1,-1
4003730,7.6,5,-1,-1,-1,5,7,5,2.6
4003731,7,4.25,-1,-1,-1,5,7,5,3.2
4003732,7.4,3.5,-1,-1,-1,6,6,7,5.2
4003733,6.8,5,-1,-1,-1,4,6,6,4.6
4003734,6.2,5.25,-1,-1,-1,4,4,2,5.4
4003735,5.2,5.25,4,5.75,7.25,-1,-1,-1,2.6
4003736,2.8,5,2.75,2.5,5,-1,-1,-1,2.8
4003737,8.2,6.25,-1,-1,-1,5,8,6,8
4003738,6,6,4.75,4.75,5.75,-1,-1,-1,4.6
4003739,9,4.25,-1,-1,-1,6,8,8,3.6
4003740,3.8,6.5,6.75,7.25,9,-1,-1,-1,4.4
4003741,5.2,8.5,9.5,8.5,7.25,-1,-1,-1,2.8
4003742,4,4.75,4.5,5.75,7.25,-1,-1,-1,2.2
4003743,7,6,-1,-1,-1,7,6,5,6
4003744,5.6,6.5,5.5,5.5,7.25,-1,-1,-1,5.8
4003745,7,5.75,-1,-1,-1,6,8,5,8.8
4003746,7.2,4.25,-1,-1,-1,5,6,8,5.6
4003747,8,6,-1,-1,-1,5,7,8,5.2
4003748,6,4.75,4.25,3.75,8,-1,-1,-1,3.4
4003749,5.8,8.5,8.5,7,8.25,-1,-1,-1,7.8
4003750,4,6,6,7.25,8.5,-1,-1,-1,5.2
4003751,7,5.5,4,4.75,7.75,-1,-1,-1,3.4
4003752,-1,-1,-1,-1,-1,-1,-1,-1,-1
4003753,6.4,6,-1,-1,-1,4,4,6,6.6
4003754,7.6,5.5,8.5,6.75,9,-1,-1,-1,4
4003755,4.6,4.5,4.75,3.75,6,-1,-1,-1,3.4
4003756,8.2,7,-1,-1,-1,6,9,8,7.8
4003757,4.2,2,3,4,-1,-1,-1,-1,-1
4003758,5.2,8,8.5,7.5,8.5,-1,-1,-1,8.2
4003759,6.2,4.25,5.25,5.25,-1,-1,-1,-1,-1
4003760,-1,-1,-1,-1,-1,-1,-1,-1,-1
4003761,2.8,3.75,4.5,5.25,-1,-1,-1,-1,-1
4003762,6.6,8,8,7.25,7.25,-1,-1,-1,5
4003763,6.8,8.5,8.25,7.75,9,-1,-1,-1,6.6
4003764,5.2,3.75,4,3.75,7.75,-1,-1,-1,4.2
4003765,4.2,2.25,5,4.25,-1,-1,-1,-1,-1
4003766,5.4,5.5,6,5.75,8.5,-1,-1,-1,4.4
4003767,6.2,4.5,4.5,5.75,7.25,-1,-1,-1,2.4
4003768,2.8,3.75,5.5,4.5,-1,-1,-1,-1,-1
4003769,6.8,6,5,6.5,5.75,-1,-1,-1,2.8
4003770,7.2,7,4,5,8.25,-1,-1,-1,8.8
4003771,3.2,4.5,4.25,4.75,-1,-1,-1,-1,-1
4003772,4.2,6.75,6.5,6.5,7.25,-1,-1,-1,4.8
4003773,7.2,8.25,5,4,7,-1,-1,-1,8.2
4003774,5.8,7.75,8,6.5,8.25,-1,-1,-1,4.6
4003775,5.6,8.25,7.75,7,8.75,-1,-1,-1,4.2
4003776,6.8,7,6,5.25,8.75,-1,-1,-1,8
4003777,6.2,5.5,4.75,4.5,5.75,-1,-1,-1,5
4003778,4.4,7.75,5.75,7,10,-1,-1,-1,7.8
4003779,7.4,7.75,5.75,4.75,7.75,-1,-1,-1,6.4
4003780,5,5.75,6.75,6.75,7.25,-1,-1,-1,5.6
4003781,5.2,4,6.25,6.75,-1,-1,-1,-1,-1
4003782,7.8,9,6.5,6.75,10,-1,-1,-1,6.6
4003783,-1,-1,-1,-1,-1,-1,-1,-1,-1
4003784,7.6,8,4.75,6.5,8.25,-1,-1,-1,8.4
4003785,3.8,3.5,4.75,4.5,-1,-1,-1,-1,-1
4003786,7.8,8.75,6.5,4.75,8.25,-1,-1,-1,8.6
4003787,5,5,4.25,5,6.5,-1,-1,-1,5.8
4003788,4.8,3.5,2.75,4.75,7.25,-1,-1,-1,3.8
4003789,5.4,4.25,4.25,4.5,5.5,-1,-1,-1,3.2
4003790,6.8,4,4.75,6.25,-1,-1,-1,-1,-1
4003791,7.4,6.25,7.75,4.75,8.75,-1,-1,-1,5.4
4003792,5.8,3,4.5,6.5,7.75,-1,-1,-1,3.8
4003793,5.6,3,2.75,5,-1,-1,-1,-1,-1
4003794,3.2,4,4.75,5.75,-1,-1,-1,-1,-1
4003795,7.2,6,7.25,6.75,7.5,-1,-1,-1,4.8
4003796,-1,-1,-1,-1,-1,-1,-1,-1,-1
4003797,5.6,6,4.5,6.5,6.5,-1,-1,-1,5.8
4003798,6.2,4.25,4.75,6.25,7,-1,-1,-1,3.2
4003799,6.4,5,6,5.75,8.25,-1,-1,-1,2.8
4003800,3.8,4,3.75,5.5,7.25,-1,-1,-1,3.2
4003801,3.8,4,3.75,5.25,8.25,-1,-1,-1,6.8
4003802,6,7.5,4,6.5,7.25,-1,-1,-1,5.2
4003803,7.6,6.5,6.5,5.5,6.75,-1,-1,-1,2.2
4003804,4.6,5.5,4.5,3.75,6.75,-1,-1,-1,4.2
4003805,4.4,4.5,4.25,6.25,-1,-1,-1,-1,-1
4003806,6.8,7,7.25,6,7.75,-1,-1,-1,8.6
4003807,4.8,5.25,3.75,4.25,7.5,-1,-1,-1,2.2
4003808,6.8,5.5,5.25,5,8.5,-1,-1,-1,7.6
4003809,3,2.75,2.5,5.75,-1,-1,-1,-1,-1
4003810,4.4,5,5.75,7,-1,-1,-1,-1,-1
4003811,7.2,5,5,-1,-1,-1,-1,-1,2.8
4003812,5.6,3.75,4.75,6.75,-1,-1,-1,-1,-1
4003813,7.4,7.25,6.5,6.25,8.75,-1,-1,-1,5.2
4003814,7.6,8,6.25,5.25,8.5,-1,-1,-1,7
4003815,-1,-1,-1,-1,-1,-1,-1,-1,-1
4003816,-1,-1,-1,-1,-1,-1,-1,-1,-1
4003817,7.4,5.75,7.25,8,7.75,-1,-1,-1,5.6
4003818,7.4,6,8,7,9.5,-1,-1,-1,5
4003819,-1,5.5,8.25,6.75,10,-1,-1,-1,6.4
4003820,7.2,6.25,7.5,7,10,-1,-1,-1,3.8
4003821,5.2,6.25,5,4.5,6.75,-1,-1,-1,6
4003822,6.4,5.5,4.75,6.25,-1,-1,-1,-1,-1
4003823,8.6,7,8.25,6.75,9,-1,-1,-1,6.4
4003824,7.2,7.25,4.75,6.25,9.5,-1,-1,-1,8.6
4003825,7.8,7,4.25,5.75,8.25,-1,-1,-1,6
4003826,5.4,6.5,5.75,5.5,6.75,-1,-1,-1,3.6
4003827,7.8,6.5,3.5,6.5,8.25,-1,-1,-1,5.8
4003828,4.6,4.5,5,5.75,6.5,-1,-1,-1,3.2
4003829,4.4,4,5.5,6,-1,-1,-1,-1,-1
4003830,4.6,5,5,6,8,-1,-1,-1,3.2
4003831,3,5,4.25,4.25,6.25,-1,-1,-1,3
4003832,5.8,5,6.5,6,7.5,-1,-1,-1,5
4003833,5,3.75,4.75,7.5,-1,-1,-1,-1,-1
4003834,4,4.5,4.25,2.25,6.5,-1,-1,-1,3.2
4003835,5.2,5.5,6.75,6.25,-1,-1,-1,-1,-1
4003836,6.6,5.75,7.25,6.5,7.5,-1,-1,-1,5.2
4003837,3,3,3.25,4.5,-1,-1,-1,-1,-1
4003838,7.2,5,5.5,5.25,7.75,-1,-1,-1,4.8
4003839,5.2,5.75,3.5,5.5,5.75,-1,-1,-1,6
4003840,5.4,6.25,4.75,6.75,8.25,-1,-1,-1,4.6
4003841,4.2,5.25,3.75,5.5,-1,-1,-1,-1,-1
4003842,1.4,5,3.25,4.5,-1,-1,-1,-1,-1
4003843,4,5,4,4.75,-1,-1,-1,-1,-1
4003844,6,5,3.5,6.75,-1,-1,-1,-1,-1
4003845,5.4,5,4.5,5.5,-1,-1,-1,-1,-1
4003846,1.8,4,4.5,3.75,-1,-1,-1,-1,-1
4003847,3.2,3.5,4.5,6.75,-1,-1,-1,-1,-1
4003848,4,2.5,2.5,5.25,-1,-1,-1,-1,-1
4003849,4.2,3.5,6.5,7.5,-1,-1,-1,-1,-1
4003850,4.4,7.75,-1,-1,-1,-1,-1,-1,9.2
4003851,3.4,4.5,4,4,-1,-1,-1,-1,-1
4003852,2.2,3.75,3.25,4.5,-1,-1,-1,-1,-1
4003853,1.4,5,5.25,4.25,-1,-1,-1,-1,-1
4003854,3.2,4,3.75,5.75,-1,-1,-1,-1,-1
4003855,2.6,2.25,4,4.5,-1,-1,-1,-1,-1
4003856,4.6,3.5,4.75,5.5,-1,-1,-1,-1,-1
4003857,4.6,3.75,5,5.75,-1,-1,-1,-1,-1
4003858,1.8,3.25,3.75,4.75,-1,-1,-1,-1,-1
4003859,5,3.5,5.25,5.25,-1,-1,-1,-1,-1
4003860,2.4,2,3.75,4.75,-1,-1,-1,-1,-1
4003861,2.2,2.5,2.75,5,-1,-1,-1,-1,-1
4003862,5.6,4,5.25,7,-1,-1,-1,-1,-1
4003863,4.2,5,3.75,5.5,-1,-1,-1,-1,-1
4003864,4,3,4.75,5.5,-1,-1,-1,-1,-1
4003865,3.8,4,5.5,6.25,-1,-1,-1,-1,-1
4003866,4.6,2.75,3.5,3.75,-1,-1,-1,-1,-1
4003867,2.8,4.5,6.75,6.25,-1,-1,-1,-1,-1
4003868,2.6,2.5,2.75,2.5,-1,-1,-1,-1,-1
4003869,7.2,8.25,-1,-1,-1,-1,-1,-1,8
4003870,2.6,3.25,5.25,5.5,-1,-1,-1,-1,-1
4003871,2.8,4.25,2.25,3.5,-1,-1,-1,-1,-1
4003872,3.2,3,2,4,-1,-1,-1,-1,-1
4003873,5.4,3.5,5.5,6.5,-1,-1,-1,-1,-1
4003874,2.6,2.25,3,2.25,-1,-1,-1,-1,-1
4003875,5.6,5,7,5,-1,-1,-1,-1,-1
4003876,3.4,5.25,5,5.75,-1,-1,-1,-1,-1
4003877,3.6,4.25,5.25,5.5,-1,-1,-1,-1,-1
4003878,3.2,3.5,2,4.25,-1,-1,-1,-1,-1
4003879,3.8,2,3,3.75,-1,-1,-1,-1,-1
4003880,3.6,2.5,4,2.5,-1,-1,-1,-1,-1
4003881,2.4,5,7,6,-1,-1,-1,-1,-1
4003882,2.4,1.5,3.75,5.75,-1,-1,-1,-1,-1
4003883,2.8,4.5,3,7,-1,-1,-1,-1,-1
4003884,4.2,3,2,3.25,-1,-1,-1,-1,-1
4003885,3.2,6.75,-1,-1,-1,-1,-1,-1,8.6
4003886,3,3,3.75,3.25,-1,-1,-1,-1,-1
4003887,3,4.5,6.25,5,-1,-1,-1,-1,-1
4003888,5.2,2,6.25,5.5,-1,-1,-1,-1,-1
4003889,4.8,3.25,4,-1,-1,-1,-1,-1,3
4003890,3.2,2.25,4.75,4.5,-1,-1,-1,-1,-1
4003891,1.6,2,3.25,4,-1,-1,-1,-1,-1
4003892,5.6,2.5,4,5.75,-1,-1,-1,-1,-1
4003893,3.2,2.75,3.75,4.75,-1,-1,-1,-1,-1
4003894,2.4,4,4.25,-1,-1,-1,-1,-1,2.6
4003895,-1,8,4.5,6,9.25,-1,-1,-1,6.8
4003896,3,4.25,4,-1,-1,-1,-1,-1,4.2
4003897,3.2,4.75,3.75,5.5,-1,-1,-1,-1,3.4
4003898,7,8,-1,-1,-1,-1,4,-1,5.6
4003899,6.6,6.75,-1,-1,-1,-1,-1,-1,4.4
4003900,7.6,-1,-1,-1,-1,7,-1,-1,8.6
4003901,6.4,-1,7.75,7.5,9.5,-1,-1,-1,8.2
4003902,5.8,5,5.5,4.25,-1,-1,-1,-1,6.4
4003903,8.4,3.75,-1,-1,-1,4,5,4,7.8
4003904,7.6,6.5,-1,-1,-1,-1,8,-1,8.4
4003905,-1,8,-1,-1,9.75,-1,-1,-1,7.8
4003906,7.4,7.25,-1,-1,-1,-1,-1,-1,5.6
4003907,7.4,7.5,-1,-1,-1,-1,-1,-1,7.4
4003908,7.8,6,-1,-1,-1,-1,-1,-1,7.8
4003909,8,6.25,7,7.25,8.75,-1,-1,-1,7.4
4003910,3.8,5.5,4.5,5.25,5.5,-1,-1,-1,3.8
4003911,5.8,6,5,6.5,7.25,-1,-1,-1,4.8
4003912,6.4,8,9.5,8.25,9.75,-1,-1,-1,4.8
4003913,6,7,7,7.5,10,-1,-1,-1,6.2
4003914,7,8,-1,-1,-1,6,4,4,6.6
4003915,7.8,6.75,7,7.5,8.5,-1,-1,-1,6.8
4003916,3.8,7.5,6.5,5.25,7.5,-1,-1,-1,3.6
4003917,5.8,6.5,3.75,6.5,8,-1,-1,-1,4.6
4003918,6.6,8,7,6.25,10,-1,-1,-1,8.8
4003919,7.2,9,6.25,5.5,9.25,-1,-1,-1,7.4
4003920,7.2,5,-1,-1,-1,4,7,7,3.4
4003921,6.2,8.75,7.25,6,8.75,-1,-1,-1,5.6
4003922,6,5,6,6,8.25,-1,-1,-1,4.2
4003923,7.6,6.75,-1,-1,-1,4,8,8,4.4
4003924,7.8,6.5,-1,-1,-1,8,8,9,5.6
4003925,6,4,-1,-1,-1,6,8,6,6
4003926,7.6,3.75,-1,-1,-1,7,8,6,3.4
4003927,7.2,4.25,-1,-1,-1,8,4,8,3.6
4003928,6.6,5.75,-1,-1,-1,5,6,5,6
4003929,8.8,5.25,-1,-1,-1,5,8,8,5.4
4003930,6.8,-1,-1,-1,-1,-1,4,6,-1
4003931,8,7.5,-1,-1,-1,-1,-1,-1,9
4003932,8.6,-1,-1,-1,-1,9,-1,9,-1
4003933,8,6.5,-1,-1,-1,5,8,8,4.8
4003934,8,5.5,-1,-1,-1,6,8,7,5.4
4003935,7.6,7.75,-1,-1,-1,7,8,9,7.4
4003936,6.2,6.25,-1,-1,-1,5,4,7,3
4003937,6.4,6.5,-1,-1,-1,6,4,4,6.6
4003938,5.8,4.5,-1,-1,-1,5,5,4,3.6
4003939,7.8,6,-1,-1,-1,6,7,9,3.8
4003940,8.4,5.5,-1,-1,-1,6,9,9,8.2
4003941,7.4,7.75,-1,-1,-1,8,4,9,4.2
4003942,7.2,7,-1,-1,-1,6,8,4,8
4003943,7.8,6,-1,-1,-1,4,8,8,5.2
4003944,8.8,5.75,-1,-1,-1,7,8,2,9.2
4003945,7.4,5.75,-1,-1,-1,5,5,6,7.2
4003946,7.6,7,-1,-1,-1,6,6,8,7.8
4003947,7.8,-1,-1,-1,-1,-1,8,8,-1
4003948,7.4,6.5,-1,-1,-1,8,8,7,6.6
4003949,8.2,6.5,-1,-1,-1,6,8,8,4.2
4003950,5,4.25,-1,-1,-1,5,4,3,3
4003951,9.2,6.5,-1,-1,-1,7,9,7,9.4
4003952,7.4,4.5,-1,-1,-1,4,4,5,5
4003953,6.8,6,-1,-1,-1,6,6,5,3.6
4003954,6.6,5,-1,-1,-1,4,6,5,5.6
4003955,7.6,5,-1,-1,-1,5,6,4,3.2
4003956,7.6,6,-1,-1,-1,7,8,5,7.6
4003957,6,4,-1,-1,-1,4,6,7,3.8
4003958,9,6.5,-1,-1,-1,5,8,3,8.8
4003959,7.6,7,-1,-1,-1,6,6,8,8.6
4003960,7,7.75,-1,-1,-1,6,6,7,4.4
4003961,7.6,5,-1,-1,-1,7,8,8,7
4003962,7.4,5.75,-1,-1,-1,7,4,7,4.8
4003963,7.4,5.25,-1,-1,-1,6,6,4,6.6
4003964,6.4,5.5,-1,-1,-1,6,3,7,4
4003965,6.4,4.75,-1,-1,-1,8,8,7,4.6
4003966,7.8,-1,-1,-1,-1,7,4,8,-1
4003967,5.4,5.25,-1,-1,-1,4,4,4,4.8
4003968,7.6,6.5,-1,-1,-1,8,8,4,9.2
4003969,7.2,5.25,-1,-1,-1,5,4,8,5
4003970,8,5,-1,-1,-1,5,8,6,8.4
4003971,8.2,6.75,-1,-1,-1,6,8,5,6.6
4003972,7,5.5,-1,-1,-1,4,7,2,6.6
4003973,7.6,4.5,-1,-1,-1,4,3,6,6
4003974,8.4,7.25,-1,-1,-1,6,8,6,8.6
4003975,7.4,6.75,-1,-1,-1,6,7,8,7.6
4003976,-1,7.25,7.75,7,7.5,-1,-1,-1,-1
4003977,7.2,5,-1,-1,-1,6,6,7,6.2
4003978,7.6,7.25,-1,-1,-1,5,4,8,8.6
4003979,8.4,6.75,-1,-1,-1,6,9,8,5.4
4003980,7.6,7,-1,-1,-1,6,9,9,7
4003981,7,5.25,-1,-1,-1,7,6,8,8.2
4003982,7.8,5,-1,-1,-1,6,6,4,5.2
4003983,7.8,6,-1,-1,-1,6,5,4,6.6
4003984,6.6,6,-1,-1,-1,7,6,3,9.2
4003985,7.2,4.5,-1,-1,-1,4,3,8,7.6
4003986,8.4,4.5,-1,-1,-1,5,6,7,4.4
4003987,5.6,5.75,-1,-1,-1,4,5,4,1.8
4003988,7.2,5.5,-1,-1,-1,6,8,6,7.8
4003989,8,6.5,-1,-1,-1,5,6,8,3.2
4003990,6,6.5,-1,-1,-1,4,5,6,3.2
4003991,8.2,8,5,7.25,7.25,-1,-1,-1,6.4
4003992,7.8,7.5,6.5,6,9.25,-1,-1,-1,9.2
4003993,5,5.25,4.5,6,9.5,-1,-1,-1,6
4003994,6.4,5.25,-1,-1,-1,4,4,7,6.8
4003995,3,4,2.75,4,3.75,-1,-1,-1,3.4
4003996,7.2,7.25,4.75,6.5,8.25,-1,-1,-1,6.4
4003997,7.4,6.25,-1,-1,-1,6,6,8,5
4003998,6.2,6,-1,-1,-1,4,5,6,4.8
4003999,8.2,8,-1,-1,-1,6,8,8,7.4
4004000,3.6,6.75,4.25,5.25,7.25,-1,-1,-1,6
4004001,7.8,6.25,-1,-1,-1,6,8,6,8.2
4004002,6,6.75,5.25,7.5,8,-1,-1,-1,3
4004003,5,7,5.75,5.5,8.75,-1,-1,-1,9.6
4004004,6.6,5.5,4.75,7,8.25,-1,-1,-1,6.4
4004005,8,5.75,-1,-1,-1,5,8,5,7.8
4004006,5,6.5,6,7.5,7.5,-1,-1,-1,4.8
4004007,5.8,6.25,4.75,6.5,7.5,-1,-1,-1,3
4004008,8,5.75,-1,-1,-1,4,7,8,4
4004009,5,7.75,4.75,5.5,7.5,-1,-1,-1,6
4004010,7.8,7.5,6.25,8,9.5,-1,-1,-1,6.6
4004011,7.2,7.5,7.25,5.75,9.25,-1,-1,-1,8.8
4004012,8.2,6,-1,-1,-1,4,8,4,8.4
4004013,8.2,6,-1,-1,-1,5,8,7,4.4
4004014,6.8,4.5,5,5.75,7.5,-1,-1,-1,6.6
4004015,6.6,6.5,7.25,8.75,8.25,-1,-1,-1,4.6
4004016,8.2,8,5.5,7.25,8,-1,-1,-1,7.2
4004017,8,5.25,-1,-1,-1,4,4,4,9
4004018,4,4.75,-1,-1,-1,4,5,3,6.2
4004019,8,5,-1,-1,-1,6,5,6,6.4
4004020,7.8,7,-1,-1,-1,7,6,8,9
4004021,4.2,5,5.25,6,8.75,-1,-1,-1,7
4004022,5.2,5,5.5,7.25,6.75,-1,-1,-1,7
4004023,4.8,5.5,5.75,6,6.5,-1,-1,-1,6
4004024,7.4,5,-1,-1,-1,7,8,7,5.6
4004025,5.4,4.25,-1,-1,-1,4,4,6,3.6
4004026,8.2,5.5,-1,-1,-1,9,4,8,5
4004027,7,7,5.75,5.75,7.25,-1,-1,-1,5.8
4004028,7,4.5,-1,-1,-1,3,4,6,-1
4004029,8.8,5.5,-1,-1,-1,7,2,8,2
4004030,5.6,4.5,2.75,3.25,5.75,-1,-1,-1,3.4
4004031,6.4,5.75,-1,-1,-1,4,4,4,2.6
4004032,7.6,5.25,-1,-1,-1,8,4,7,5.4
4004033,8,5,-1,-1,-1,6,9,8,5.8
4004034,7.4,5.75,6.5,6,7.75,-1,-1,-1,3
4004035,8,5.5,-1,-1,-1,6,6,5,5
4004036,7.4,6,-1,-1,-1,6,7,8,5.6
4004037,7.6,6.75,-1,-1,-1,5,8,9,6.6
4004038,6,3.75,-1,-1,-1,4,4,6,4
4004039,4.6,4,-1,-1,-1,6,4,3,5.4
4004040,6.6,6,-1,-1,-1,6,5,4,6.8
4004041,6.4,6.5,-1,-1,-1,8,5,8,4.8
4004042,7,8.75,7.25,7,9,-1,-1,-1,4.2
4004043,3.2,3,2.75,4.75,4.5,-1,-1,-1,4.2
4004044,6.6,6,7,7.75,8.25,-1,-1,-1,7.4
4004045,5.6,5.5,-1,-1,-1,5,6,6,3.6
4004046,7.4,4.25,-1,-1,-1,6,4,6,2.4
4004047,6.8,7.5,7.75,5.75,7.25,-1,-1,-1,9.2
4004048,6,6.25,6.75,6.75,8.75,-1,-1,-1,7.8
4004049,3.6,5,6.25,5.5,8,-1,-1,-1,4.6
4004050,7.2,7,5.75,6,7.75,-1,-1,-1,6.2
4004051,8.6,6,-1,-1,-1,7,7,8,8
4004052,6.8,4.75,-1,-1,-1,4,7,6,3.6
4004053,7.4,7.5,4.5,3.5,8.25,-1,-1,-1,8.2
4004054,8.2,5.75,-1,-1,-1,5,8,7,6.8
4004055,8,5.75,-1,-1,-1,6,7,8,4.6
4004056,8.4,7,-1,-1,-1,6,9,9,5.6
4004057,5.6,6.5,4.5,5,8,-1,-1,-1,4.2
4004058,8,6.25,-1,-1,-1,8,7,7,8.4
4004059,5.6,5.5,-1,-1,-1,5,4,4,4.2
4004060,7.2,7.5,-1,-1,-1,7,8,8,6.2
4004061,7.6,8.5,5.75,5.25,8.75,-1,-1,-1,9
4004062,8.6,5,-1,-1,-1,6,5,6,5.2
4004063,7.8,7.5,-1,-1,-1,5,8,8,7
4004064,6,7,3.75,5.5,8.5,-1,-1,-1,6.6
4004065,5.2,5.25,5.25,4.25,7.75,-1,-1,-1,4.4
4004066,6.4,8,5.25,7.25,7,-1,-1,-1,5.4
4004067,7.2,5.5,-1,-1,-1,4,7,9,4.4
4004068,7.2,6,3.75,4.75,5.5,-1,-1,-1,3.8
4004069,7.2,5.25,-1,-1,-1,5,7,2,7
4004070,6.2,5.25,4,4,5.75,-1,-1,-1,3.6
4004071,5,7.5,5.5,5.5,8.5,-1,-1,-1,5
4004072,6.8,6.5,5.5,5.75,7.75,-1,-1,-1,7.4
4004073,7.2,6,-1,-1,-1,8,6,8,7.6
4004074,5.2,6.5,5.25,5,7.25,-1,-1,-1,3.8
4004075,8.2,7.25,-1,-1,-1,6,9,7,8.4
4004076,6.8,7.75,6.5,7.25,8.75,-1,-1,-1,4.8
4004077,6.2,5.5,-1,-1,-1,4,4,4,6.6
4004078,6.6,7,8,6.5,9,-1,-1,-1,8.8
4004079,6.6,6.5,-1,-1,-1,5,4,3,7.8
4004080,7.8,7,-1,-1,-1,6,8,6,9.2
4004081,7.6,4.75,-1,-1,-1,6,6,4,7.8
4004082,4.2,4,4.5,3.25,5.5,-1,-1,-1,2.6
4004083,8.8,5.5,-1,-1,-1,6,8,8,5
4004084,8.2,6.5,-1,-1,-1,4,8,4,8.8
4004085,3.8,4.75,5.25,7,8.5,-1,-1,-1,4
4004086,7.4,6,-1,-1,-1,5,8,3,5.4
4004087,7.6,9.25,7.75,7.5,9.5,-1,-1,-1,9.4
4004088,-1,8.5,9,5.5,-1,-1,-1,-1,-1
4004089,7.6,7.25,-1,-1,-1,8,5,9,8
4004090,6.4,6.25,4.25,6,7.5,-1,-1,-1,6.2
4004091,5.6,6.75,3.75,4.75,6.25,-1,-1,-1,7.4
4004092,6.6,6.5,-1,-1,-1,5,4,8,4.6
4004093,7.2,7,6.25,7,8,-1,-1,-1,4.2
4004094,4,5,5.25,6,8.25,-1,-1,-1,4.8
4004095,5.2,5,4.5,4.25,8.75,-1,-1,-1,5.4
4004096,7.8,5.75,-1,-1,-1,2,8,8,2.8
4004097,3.8,5,6.25,6.5,7.75,-1,-1,-1,2.6
4004098,7.6,5,-1,-1,-1,3,8,7,2
4004099,8,5.5,-1,-1,-1,6,8,7,5.6
4004100,5,6.5,4,6,7.5,-1,-1,-1,4
4004101,7.4,6.25,-1,-1,-1,5,7,8,5.4
4004102,3.8,4.75,4.5,5.25,7.25,-1,-1,-1,3
4004103,3.2,4,4.75,4.75,6.75,-1,-1,-1,3.6
4004104,7.4,7.25,5.75,5.25,8.25,-1,-1,-1,5.4
4004105,4.6,4,4,4.75,6,-1,-1,-1,5
4004106,4.8,5.75,5,5.25,9,-1,-1,-1,7.2
4004107,4.8,7.5,7,6.25,9,-1,-1,-1,4.8
4004108,7,6.75,4,5.75,7.5,-1,-1,-1,5.4
4004109,5.2,5.25,4.25,5.25,8,-1,-1,-1,3
4004110,7.2,8.5,3.75,6,9,-1,-1,-1,5
4004111,7.6,7.5,7.5,5.5,9,-1,-1,-1,8.6
4004112,5.6,7.5,8.25,7.5,9.5,-1,-1,-1,7.6
4004113,5,5,4.75,5.75,7.25,-1,-1,-1,5.6
4004114,5.8,6.25,7.75,5,6.75,-1,-1,-1,7
4004115,8.8,6.25,6.5,5.75,8.75,-1,-1,-1,9
4004116,-1,7.75,8.5,8,-1,-1,-1,-1,-1
4004117,7,8,5,6.25,7.5,-1,-1,-1,5.8
4004118,8,8.25,8.25,5.25,8.25,-1,-1,-1,7.8
4004119,5.8,7,6.25,7,8.25,-1,-1,-1,4.2
4004120,5.2,5.75,4,3.5,6.75,-1,-1,-1,2.6
4004121,8.4,8.25,3.5,6.75,8.5,-1,-1,-1,9
4004122,7.4,8.75,5.5,5.5,8,-1,-1,-1,6.6
4004123,7.4,8.25,4.75,5.5,8.75,-1,-1,-1,8.2
4004124,4,6,4.5,4.5,5.25,-1,-1,-1,4.4
4004125,5.8,6.5,9,7.5,9.75,-1,-1,-1,7.4
4004126,6.6,5.5,8.75,5.5,9.25,-1,-1,-1,7.8
4004127,7.6,8.25,8.25,7.25,10,-1,-1,-1,8.4
4004128,7.4,9,5.75,5.25,7.5,-1,-1,-1,8.8
4004129,7.8,8.75,7.75,7.25,9.25,-1,-1,-1,9
4004130,8.6,9,5,7,8.5,-1,-1,-1,9.8
4004131,5.2,6.25,3.75,4.25,6.75,-1,-1,-1,2
4004132,5.8,6.75,6.5,6,8.25,-1,-1,-1,5
4004133,4.8,6.75,4,6.25,7.75,-1,-1,-1,2.6
4004134,6,6.5,4.5,6.25,7.5,-1,-1,-1,2.8
4004135,5.2,5.25,2.75,4.5,6.5,-1,-1,-1,5.2
4004136,4.4,5.5,5,6.25,9,-1,-1,-1,3.8
4004137,5,6,5.25,3.75,8.25,-1,-1,-1,4
4004138,5.6,5.5,6.25,6.75,7.25,-1,-1,-1,3.8
4004139,7.2,5.75,4.5,5.5,7,-1,-1,-1,5
4004140,-1,7.75,7,8.25,9.75,-1,-1,-1,-1
4004141,5.4,5,4.5,7.25,7.25,-1,-1,-1,3.6
4004142,6.6,8.75,4,6.5,10,-1,-1,-1,7
4004143,5.6,6,3.25,5,7.25,-1,-1,-1,5
4004144,6,6.5,3.75,5.5,8.25,-1,-1,-1,4.4
4004145,8.2,6.75,6,6.25,9,-1,-1,-1,5.8
4004146,6.8,8.25,8,6.75,8.5,-1,-1,-1,7.6
4004147,3.4,6.75,6,7.25,9,-1,-1,-1,7.2
4004148,5,7.25,7.5,8.75,8.25,-1,-1,-1,2
4004149,2.6,5,4.75,6.25,4.75,-1,-1,-1,3.6
4004150,4.8,4.75,5.5,4.25,7,-1,-1,-1,2.6
4004151,5.4,5.5,5.5,4.5,7.25,-1,-1,-1,2
4004152,5.2,5.75,7.75,8,8.5,-1,-1,-1,2.4
4004153,-1,-1,-1,-1,-1,-1,-1,-1,-1
4004154,5.4,6,4.5,5.75,6.5,-1,-1,-1,6.4
4004155,6.2,5.25,6.25,6.5,7.75,-1,-1,-1,4
4004156,6.2,6.75,7.5,4.25,8.5,-1,-1,-1,9.2
